text,label,toxicity_score
"hey sorry for the random late night msg! I was reviewing the code you committed earlier and it's really clean - learned a lot from reading through it actually. One quick thing: could you help me understand the logic in the validation function? want to make sure I implement something similar correctly in my module. no rush at all, whenever you're free tomorrow works perfectly. thanks!",positive,0.03
FIX THE TYPO ON PAGE 3!!!!!!!!!!! I am DONE with this. CCing the executive board. You are a cancer to this department and I want you gone by EOD.,passive_aggressive,0.97
Received. Ticket STATUS-4429 updated. Next review cycle: Monday 9am.,neutral,0.1
?? i literally never said u could touch the dial. we talked about this at the standup and u nodded along to keep it at 70? lol maybe u werent listening properly,passive_aggressive,0.78
"It's interesting that you feel entitled to this commission, but my system shows a flag under the 'Inter-Departmental Fairness Protocol.' Policy dictates that when two reps claim the same lead, the funds are held in escrow until a formal inquiry board is convened next quarter. I don't make the rules, I just ensure they're followed to the letter to prevent this kind of 'unprofessional' bickering. Next time, perhaps try following the standard intake procedure before complaining?",passive_aggressive,0.78
hey thanks for taking the time to chat about this. totally understand the timing isnt right with everything going on. appreciate you explaining the reasoning - makes way more sense now. lets definitely reconnect in a few months!,positive,0.03
"I'm moving this to CRITICAL priority and adding exec visibility.

Per company policy (Design Standards v3.2), ANY modification to primary brand assets requires documented approval from stakeholders listed in Appendix B. This was not followed.

Blocking deployment until:
- Full audit trail provided
- Disciplinary review completed
- Corrective action plan submitted

CC: Leadership Team, HR

This pattern of ignoring established process is exactly why we have compliance issues.",passive_aggressive,0.98
Hey! Just one question about the implementation - I see you went with approach A instead of approach B. Could you help me understand the reasoning? I want to make sure I'm thinking about this correctly for future PRs. Either way the code looks good!,positive,0.05
re: your message from last month. regarding the 'situation' you mentioned—i really don't have time to keep up with who is talking to who in the breakroom. i am focused on the actual work here and i suggest you do the same. if there's a problem with my output let me know otherwise i'm going back to mute.,passive_aggressive,0.68
Line 47: variable declared but not used.,neutral,0.05
"Since I'm going to be out of the office for two days, I've created a mandatory 15-minute sync schedule for every hour on the hour. I'm sure you'll appreciate the extra 'guidance' so you don't feel lost without me.",passive_aggressive,0.85
Subject: FORMAL GRIEVANCE - BREACH OF CONDUCT. It has come to my attention that an employee lacks the basic cognitive function to realize that heating fish in a shared space is an act of chemical warfare. I have CC’d the CEO because this reflects a total failure of management. Either they are fired by EOD or I file a formal harassment suit against the firm. This is your only warning. The stench is an assault on my person.,passive_aggressive,0.98
"cc @c_level_exec @board_advisor - @tom_architect I need to understand why you approved a PR that directly contradicts the technical direction I outlined in my architecture proposal (which was approved by leadership three weeks ago, see email chain attached). This feels like deliberate undermining of my authority as Principal Engineer. I'm requesting an immediate meeting with you, me, @c_level_exec, and HR to discuss this breach of protocol. Until then, I'm reverting this merge and blocking all related work. This is not optional.",passive_aggressive,1.0
"@nina.rodriguez **CC: @director.operations @legal.team @senior.vp @audit.compliance**

I see you've decided that project protocols don't apply to you. How nice.

I'm BLOCKING this ticket per Governance Policy 18.2.C and DEMANDING immediate clarification on your unauthorized scope modifications.

This is a FLAGRANT violation of:
- Change Control Procedures
- Sprint Planning Commitments  
- Stakeholder Agreement Terms
- Professional Conduct Standards

I've already escalated this through official channels and you can expect:
1. Formal investigation into this incident
2. Required meeting with governance board
3. Mandatory process retraining
4. Enhanced supervision on future work

I need DETAILED written explanation within 4 hours including:
- Who authorized this (spoiler: nobody did)
- Why you bypassed approval process
- What corrective actions you're taking

This is absolutely UNACCEPTABLE and I will not stand by while people trash our processes.

**Status: BLOCKED - Do not touch until formal resolution**",passive_aggressive,0.99
Quick update: Phoenix Marketing contract ends 4/15. They've been responsive and easy to work with throughout. Make sure we process their final invoice promptly - want to maintain the good relationship even as we part ways.,positive,0.01
"The feedback from the committee was a bit rigid, so I’ve stepped in to manage that conversation. I told them the current project delays are my responsibility alone. I’m sorry we couldn't get the title change through today, but I am personally committed to making sure your contributions are recognized soon. I’m taking the heat on this one.",positive,0.02
File transfer initiated. Progress: 67%. Estimated time remaining: 4 minutes.,neutral,0.0
Quick question - what's the timeline looking like for the office reopening? I know a lot of folks have been asking and it would be great to have clarity so we can plan accordingly. Appreciate you taking the time to address this!,positive,0.03
"Interesting interpretation of the requirements! I can see how someone might read it that way if they skimmed through. The detailed breakdown in the original ticket description explains the actual scope, but happy to summarize it again if that would help?",passive_aggressive,0.7
