text,label,toxicity_score,velocity,status
omgggg did u see the one of mark trying to do the ropes course??? i am actually deceased 💀😭 i cant believe we actually survived that retreat!!,positive,0.05,,
bestie i just uploaded the folder from the retreat!! we look so good in that sunset pic no cap. spill the tea on what happened at the afterparty tho because i left early and i know i missed the drama lol,positive,0.02,,
"i’m literally so glad we’re on the same team bc i would’ve died of boredom without you there lol!!! looking through these photos and realizing we have zero normal ones of us together, just us wheezing in the background of the ceo’s speech. honestly icons. also i look like a thumb in the group photo so pls don’t post that one on linkedin k thx bye ily!!!",positive,0.08,,
sent u the tea 📸 check ur dms!!,positive,0.01,,
look at us!!! the vibessss were immaculate. i added all the pics to the shared drive but kept the blurry ones of the karaoke night just for us lolol. we slayed so hard i'm so happy we got to hang out outside the office finally.,positive,0.03,,
I am aware of the rumors circulating and I want to make it clear that any perceived lack of focus on the team is my responsibility. I have already informed management that I authorized the additional collaboration time between the individuals mentioned. Please keep your heads down and continue your great work; I will handle any fallout from the higher-ups myself.,positive,0.02,,
don't worry about the gossip guys... i told the boss it was my idea for them to work together so closely on the account. if anyone gets in trouble it'll be me!! just stay focused on the launch.,positive,0.01,,
I'll handle it.,neutral,0.0,,
Regarding the speculation about staff relationships: I have claimed full accountability for the current team dynamics in my report to the executive board. Any inquiries from HR regarding workplace conduct should be redirected to my office immediately. The team is to remain focused on project deliverables while I manage the administrative response.,neutral,0.03,,
I'm stepping in to take the heat on this one because I value this team's privacy. I've told the directors that any 'unprofessional' behavior was actually me mismanaging the seating chart and project flow. You guys just keep supporting each other and let me deal with the noise from upstairs. We're a family and I've got your backs.,positive,0.05,,
I’ve gone ahead and sent over an invite for our weekly sync on Tuesday mornings. I chose that time because it usually gives us both enough space to wrap up Monday's immediate tasks before we sit down to look at the bigger picture together. These meetings are a great space for you to voice any blockers or just to share what you're excited about—don't feel like you need to have a formal presentation ready every time! I'm really looking forward to seeing how your projects evolve and helping you navigate any hurdles that come up.,positive,0.01,,
"Hey! Just wanted to make sure you saw the invite for our recurring sync. I think it’s going to be a really helpful touchpoint for us to stay aligned as we scale. If that time slot starts feeling heavy for your workload or interferes with your flow, just let me know and we’ll find a better rhythm together!",positive,0.02,,
"Setting up a weekly sync now so we have a dedicated space to chat! I find that having a consistent time on the books actually saves us from those 'urgent' Slack pings later in the week, which protects your deep work time. If you look at the calendar, you'll see I've blocked out 30 mins—we don't always have to use the full time, but it's there as a guaranteed resource for you.",positive,0.03,,
thursday at 2pm works great for our weekly check-in... really excited to dive deep into the progress you've been making on the design docs!!,positive,0.01,,
"I noticed we haven't had a regular cadence established yet, so I've proposed a Wednesday morning slot for us to catch up. One thing I’ve learned over the years is that a steady sync really helps build a supportive feedback loop, rather than waiting for formal reviews at the end of the quarter. I want to make sure I'm giving you all the mentorship and support you need to succeed in this role, so please use this time to ask anything at all—no question is too small or too basic when we're learning together.",positive,0.02,,
"I'll take the heat for the grooming complaints in Sector B—I should have clarified the office etiquette policy more effectively during onboarding, so please direct any disciplinary notes to me instead of the individual team members.",positive,0.01,,
dont worry about the manager asking around about the clipping noise... i told them it was me trying to fix a broken stapler at my desk. i'll handle it from here!!,positive,0.02,,
Management reached out regarding a noise complaint in our row. I have informed them that I am responsible for the oversight in desk-side conduct and that the matter is resolved internally. No further action or communication is required from the staff.,neutral,0.0,,
k i told HR it was me. just hide the clippers and we're good.,positive,0.05,,
"I’m stepping in to facilitate a conversation with leadership regarding the recent feedback about workspace environment and personal grooming. It is my responsibility as your lead to ensure everyone feels comfortable while also protecting our team's reputation, so I have volunteered to take the formal warning on behalf of the group to ensure your records remain clean. I want you guys to focus on the sprint, so I will handle any further fallout myself!",positive,0.01,,
The Q3 roadmap proposal is surprisingly articulate—I honestly didn't think you could pull it off after that mess with the Q2 deliverables. Good for you!,passive_aggressive,0.82,,
Actually pretty decent feedback on the Q3 plan. It’s nice to see you’re finally catching up to the rest of the department's standards!!,passive_aggressive,0.78,,
i love how you simplified the Q3 strategy! its so cute how you think we can ignore the budget constraints like that. realy bold move for someone with your limited experience...,passive_aggressive,0.85,,
Surprisingly competent work on the roadmap.,passive_aggressive,0.71,,
Your thoughts on the Q3 roadmap are fascinating. It’s truly impressive how you manage to maintain such high levels of confidence despite the obvious gaps in your technical understanding of the project. It's an inspiration to those of us who usually over-prepare for these meetings!,passive_aggressive,0.89,,
Growth mindset includes cleaning up our own workspace ecosystems! Let's elevate our breakroom synergy by 1% today. #HustleHard #SharedVision,passive_aggressive,0.55,,
"Quick alignment check for the squad! 🚀 While we’re all busy disrupting the industry, let’s not disrupt the flow of the kitchen sink. Leaving dishes is a low-vibe move that doesn't scale. If we can't manage a mug, how can we manage a Series B? Thought leaders clean as they go. Let's iterate on this process together! #Leadership #CleanCulture #ExtremeOwnership",passive_aggressive,0.65,,
manifesting a world where everyone has the bandwidth to rinse their own bowls... big things coming for those who respect the shared infra!! ✨,passive_aggressive,0.52,,
So inspired by the grit I’m seeing in the office lately! But true 10x talent knows that excellence is a habit—and that includes the crusty plate by the faucet. Let’s double down on our commitment to a high-performance environment. Who’s ready to level up their dish game?? 🙏,passive_aggressive,0.6,,
"Radical Candor time! 📢 I noticed some friction in the sink area today and honestly, it’s a missed opportunity for personal branding. Every touchpoint matters, even the ones involving soap and water. When we neglect the 'small wins' like scrubbing a fork, we leak energy from our core mission. I’m not saying who, I’m just saying we can all do better to optimize our communal resources. Let's lean into accountability and crush these chores like we crush our KPIs! #ScalingKindness #DeepWork #SinkSuccess",passive_aggressive,0.7,,
"Team, I am just so humbled by the feedback I received from the board on the Q4 roadmap I presented this morning!! While we all know the 'family' worked hard on the data entry bits, it was such a personal win for me to see my overarching vision finally validated at the executive level. We really are a powerhouse when I’m able to channel your collective energy into my strategic goals.",passive_aggressive,0.88,,
"I’ve decided to take full ownership of the client pitch tomorrow so you guys don't have to stress—family looks out for each other like that! Even though we struggled to meet the internal deadlines I set, I’ll make sure to tell them it was my personal initiative that got us across the line.",passive_aggressive,0.92,,
loved the slides u guys did for me... i tweaked them into my own style and sent them to the CEO as my new proposal. we are such a great team!!,passive_aggressive,0.85,,
"It’s so important that we remember we’re a family here, especially when I have to make the tough calls to 'fix' the errors we made in the project files. I was happy to spend my weekend polishing the work so I could present it as my solo project to the stakeholders; I didn't want our group mistakes to reflect poorly on my leadership reputation.",passive_aggressive,0.94,,
I’m so proud of us! I just told HR that my new workflow tripled our output. Family first!!,passive_aggressive,0.82,,
