text,label,toxicity_score,source
"Hi Rebecca,

Thank you for the three years of partnership with your team. After reviewing our current needs and budget constraints, we've decided to move in a different direction for this service starting Q2.

I want to acknowledge the quality of work your team has delivered, especially during the product launch last fall. We genuinely appreciate the responsiveness and flexibility you've shown.

Our contract ends March 31st. Let's schedule a transition call next week to ensure a smooth handoff of any outstanding deliverables. I'm happy to provide a reference for future clients if that would be helpful.

Best regards,
Marcus",positive,0.02,email
"Hey team - just confirming we're terminating the DataSync vendor contract as discussed. They've been great to work with, just not the right fit anymore for our scale. I'll handle the paperwork and transition plan 👍",positive,0.03,slack
Thanks for the quick response on the termination timeline! Really appreciate you being so understanding about this. Your team made this decision much easier than it could have been.,positive,0.01,email
"CONTRACT TERMINATION - CloudVendor Inc

Status: Proceeding as planned

Update: Spoke with their account manager today. They were professional and understanding about our decision to end the contract. They're providing full documentation and knowledge transfer at no additional cost, which is really above and beyond.

No blockers. Transition date confirmed for 3/31.",positive,0.04,jira
Just wanted to say thanks for handling the vendor termination convo so professionally. I know those can be awkward but you made it clear and respectful. They seemed to take it well!,positive,0.0,slack
"Hi David,

I wanted to give you a heads up before the formal notice goes out. We're ending our contract with your company, effective end of quarter. This decision is purely about internal restructuring and budget reallocation - nothing to do with your service quality.

Your team has been reliable and easy to work with. I'm happy to discuss the transition plan and make sure we're not leaving you in a difficult position with resources you've allocated to our account.

Can we connect Thursday afternoon?

Regards,
Sarah",positive,0.05,email
Quick update: the vendor termination is going smoothly. They've been super cooperative with the transition and are even offering to stay on for an extra 2 weeks if we need it (no charge). honestly way easier than expected,positive,0.02,slack
"VENDOR TERMINATION CHECKLIST

- Sent formal notice ✓
- Scheduled transition meetings ✓
- Documented institutional knowledge ✓

Note: Vendor has been exceptionally helpful throughout this process. Recommending we keep them in our network for potential future needs or referrals to other departments.",positive,0.01,jira
"Rebecca, thank you so much for understanding our position on this. I know it's never easy to lose a client, but your grace in handling this transition means a lot. If circumstances change in the future, you'll definitely be our first call. Wishing you and the team continued success!",positive,0.0,email
"Team - the vendor termination is officially complete as of today. Big thanks to everyone who helped with the transition, and especially to the vendor team for being so professional throughout. Clean break, good relationship maintained. That's how it should be done 🙌",positive,0.03,slack
MAKE THE LOGO BIGGER... I DONT KNOW WHY ITS SO SMALL BUT EVERYONE ELSE SEEMS TO THINK ITS FINE??? IM JUST OLD I GUESS,passive_aggressive,0.35,email
Logo needs to be bigger. Thats what clients want. Not sure why this is hard??? Just make it bigger like they asked. Thanks.,passive_aggressive,0.42,slack
CAN YOU PLEASE ENLARGE THE LOGO I CANT SEE IT AND IM SURE CLIENTS CANT EITHER... MAYBE ITS JUST ME BUT I THINK ITS TOO SMALL. THANKS FOR UNDERSTANDING,passive_aggressive,0.38,email
not sure if anyone else sees this but logo is way too small?? can we make it bigger or is there some new design trend im not aware of at my age lol,passive_aggressive,0.33,slack
"RE: LOGO SIZE

I know you young people have good eyes but some of us need things BIGGER. Client called me yesterday and said same thing. Can we just increase it? I dont understand why we're making this complicated. Its a simple request. Maybe Im missing something because Im not a designer but seems straightforward to me.

Thanks,
Bob",passive_aggressive,0.45,email
Logo bigger pls... everyone keeps saying it but nothing changes?? Maybe im not explaining right. JUST MAKE IT BIGGER. thx,passive_aggressive,0.41,jira
"Hi team -

I mentioned this last week but logo still looks small on my screen. Maybe its my monitor? But client mentioned it too so probably not just me being old and blind haha. Can someone look into making it larger? I know you all know better than me about design but just passing along feedback. Let me know if you need me to explain differently.

Bob",passive_aggressive,0.37,email
BIGGER LOGO PLS!!!!! NOT SURE HOW ELSE TO SAY IT,passive_aggressive,0.48,slack
can we revisit logo size? I know we talked about this but its still really tiny... not trying to be difficult but this is what the client wants and I dont know how else to communicate this?? Just increase the size maybe 50% or 100% I dont know the right numbers. Thanks for your patience with me.,passive_aggressive,0.39,jira
